full_name,f_name,affiliation,paper_title,paper_url,year
Kevin Leyton-Brown,kevin,,Predicting Satisfiability at the Phase Transition,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5098,2012
Wei Chen,wei,,Time-Critical Influence Maximization in Social Networks with Time-Delayed Diffusion Process,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5024,2012
Wei Lu,wei,,Time-Critical Influence Maximization in Social Networks with Time-Delayed Diffusion Process,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5024,2012
Ning Zhang,ning,,Time-Critical Influence Maximization in Social Networks with Time-Delayed Diffusion Process,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5024,2012
Jing Fang,jing,,Table Header Detection and Classification,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5046,2012
Prasenjit Mitra,prasenjit,,Table Header Detection and Classification,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5046,2012
Zhi Tang,zhi,,Table Header Detection and Classification,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5046,2012
C. Lee Giles,c,,Table Header Detection and Classification,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5046,2012
Ankush Gupta,ankush,,Choosing Linguistics over Vision to Describe Images,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5039,2012
Yashaswi Verma,yashaswi,,Choosing Linguistics over Vision to Describe Images,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5039,2012
C. V. Jawahar,c,,Choosing Linguistics over Vision to Describe Images,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5039,2012
Andreas Harth,andreas,,On Completeness Classes for Query Evaluation on Linked Data,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5114,2012
Sebastian Speiser,sebastian,,On Completeness Classes for Query Evaluation on Linked Data,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5114,2012
Zhanying He,zhanying,,Document Summarization Based on Data Reconstruction,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4991,2012
Chun Chen,chun,,Document Summarization Based on Data Reconstruction,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4991,2012
Jiajun Bu,jiajun,,Document Summarization Based on Data Reconstruction,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4991,2012
Can Wang,can,,Document Summarization Based on Data Reconstruction,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4991,2012
Lijun Zhang,lijun,,Document Summarization Based on Data Reconstruction,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4991,2012
Deng Cai,deng,,Document Summarization Based on Data Reconstruction,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4991,2012
Xiaofei He,xiaofei,,Document Summarization Based on Data Reconstruction,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4991,2012
Hongxia Jin,hongxia,,Content Recommendation for Attention Management in Unified Social Messaging,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5007,2012
Weihao Kong,weihao,,Double-Bit Quantization for Hashing,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5080,2012
Wu-Jun Li,wu-jun,,Double-Bit Quantization for Hashing,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5080,2012
Yue Lin,yue,,Random Projection with Filtering for Nearly Duplicate Search,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4915,2012
Rong Jin,rong,,Random Projection with Filtering for Nearly Duplicate Search,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4915,2012
Deng Cai,deng,,Random Projection with Filtering for Nearly Duplicate Search,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4915,2012
Xiaofei He,xiaofei,,Random Projection with Filtering for Nearly Duplicate Search,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4915,2012
Zhunchen Luo,zhunchen,,Improving Twitter Retrieval by Exploiting Structural Information,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4913,2012
Miles Osborne,miles,,Improving Twitter Retrieval by Exploiting Structural Information,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4913,2012
Saša Petrovic,saša,,Improving Twitter Retrieval by Exploiting Structural Information,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4913,2012
Ting Wang,ting,,Improving Twitter Retrieval by Exploiting Structural Information,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4913,2012
Feiping Nie,feiping,,Low-Rank Matrix Recovery via Efficient Schatten p-Norm Minimization,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5165,2012
Heng Huang,heng,,Low-Rank Matrix Recovery via Efficient Schatten p-Norm Minimization,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5165,2012
Chris Ding,chris,,Low-Rank Matrix Recovery via Efficient Schatten p-Norm Minimization,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5165,2012
Weike Pan,weike,,Transfer Learning in Collaborative Filtering with Uncertain Ratings,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4826,2012
Evan W. Xiang,evan,,Transfer Learning in Collaborative Filtering with Uncertain Ratings,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4826,2012
Qiang Yang,qiang,,Transfer Learning in Collaborative Filtering with Uncertain Ratings,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4826,2012
Abhishek Sharma,abhishek,,Modeling the Evolution of Knowledge in Learning Systems,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4972,2012
Kenneth D. Forbus,kenneth,,Modeling the Evolution of Knowledge in Learning Systems,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4972,2012
